iter	Passed	Remaining
238	27904	88851
239	28039	88790
240	28150	88656
241	28268	88543
242	28384	88424
243	28494	88287
244	28600	88135
245	28706	87987
246	28808	87825
247	28912	87670
248	29033	87568
249	29177	87533
250	29303	87442
251	29439	87383
252	29556	87267
253	29652	87089
254	29756	86937
255	29858	86775
256	29960	86617
257	30057	86444
258	30165	86304
259	30261	86128
260	30364	85974
261	30472	85834
262	30576	85684
263	30675	85520
264	30771	85348
265	30891	85242
266	30993	85086
267	31128	85023
268	31253	84929
269	31375	84829
270	31485	84698
271	31594	84561
272	31690	84392
273	31806	84274
274	31910	84126
275	32016	83984
276	32165	83954
277	32287	83855
278	32408	83750
279	32516	83614
280	32630	83493
281	32723	83318
282	32824	83163
283	32930	83021
284	33029	82863
285	33133	82718
286	33232	82559
287	33341	82428
288	33442	82275
289	33552	82146
290	33662	82016
291	33772	81885
292	33878	81746
293	33984	81610
294	34104	81504
295	34209	81363
296	34321	81239
297	34433	81114
298	34550	81002
299	34654	80861
300	34751	80702
301	34857	80565
302	34955	80409
303	35060	80270
304	35167	80135
305	35273	79999
306	35391	79889
307	35497	79754
308	35598	79606
309	35705	79473
310	35835	79391
311	35943	79259
312	36043	79110
313	36159	78998
314	36251	78832
315	36364	78713
316	36485	78611
317	36600	78494
318	36716	78382
319	36827	78259
320	36936	78130
321	37049	78011
322	37184	77937
323	37302	77827
324	37407	77692
325	37512	77556
326	37623	77432
327	37726	77294
328	37824	77142
329	37936	77022
330	38033	76871
331	38140	76740
332	38254	76623
333	38366	76503
334	38467	76360
335	38569	76219
336	38664	76067
337	38780	75955
338	38888	75827
339	38990	75687
340	39089	75543
341	39193	75406
342	39294	75265
343	39402	75138
344	39495	74984
345	39589	74831
346	39689	74688
347	39778	74528
348	39879	74387
349	39984	74256
350	40080	74108
351	40178	73965
352	40281	73830
353	40384	73696
354	40488	73564
355	40589	73426
356	40692	73291
357	40790	73150
358	40897	73023
359	40999	72888
360	41090	72733
361	41188	72592
362	41291	72460
363	41400	72336
364	41515	72226
365	41641	72133
366	41754	72018
367	41864	71897
368	41965	71761
369	42081	71652
370	42190	71530
371	42297	71405
372	42399	71271
373	42515	71161
374	42637	71062
375	42757	70959
376	42861	70829
377	42978	70721
378	43115	70646
379	43238	70547
380	43354	70436
381	43472	70329
382	43592	70225
383	43710	70119
384	43830	70014
385	43953	69916
386	44085	69830
387	44205	69726
388	44320	69613
389	44441	69510
390	44559	69403
391	44696	69324
392	44816	69219
393	44955	69144
394	45087	69058
395	45225	68980
396	45362	68900
397	45482	68795
398	45592	68674
